Day Index,Quantity,Impressions,Clicks,imputed_Quantity,Month Name,Weekend,Day of Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,January,February,March,April,May,June,July,August,September,October,November,December
2022-01-23 00:00:00,14,783,444,14,January,1,Sunday,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-24 00:00:00,26,1040,425,26,January,0,Monday,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-25 00:00:00,12,968,384,12,January,0,Tuesday,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-26 00:00:00,18,874,369,18,January,0,Wednesday,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-27 00:00:00,12,942,375,12,January,0,Thursday,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-28 00:00:00,13,761,407,13,January,0,Friday,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-29 00:00:00,14,1447,401,14,January,1,Saturday,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-30 00:00:00,9,1188,424,9,January,1,Sunday,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-31 00:00:00,15,1259,443,15,January,0,Monday,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-02-01 00:00:00,25,1043,460,25,February,0,Tuesday,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-02 00:00:00,13,1146,444,13,February,0,Wednesday,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-03 00:00:00,21,1084,453,21,February,0,Thursday,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-04 00:00:00,23,1059,483,23,February,0,Friday,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-05 00:00:00,15,1413,389,15,February,1,Saturday,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-06 00:00:00,12,1361,404,12,February,1,Sunday,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-07 00:00:00,22,1276,464,22,February,0,Monday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-08 00:00:00,17,1409,438,17,February,0,Tuesday,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-09 00:00:00,20,1501,442,20,February,0,Wednesday,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
